23/Jul/1995,POST,200,4
23/Jul/1995,GET,302,625
16/Jul/1995,GET,304,2729
26/Jul/1995,GET,200,53152
06/Jul/1995,GET,302,3197
18/Jul/1995,GET,404,463
17/Jul/1995,POST,501,1
24/Jul/1995,POST,501,5
25/Jul/1995,HEAD,200,183
26/Jul/1995,GET,302,766
08/Jul/1995,GET,200,35517
13/Jul/1995,GET,200,113775
22/Jul/1995,GET,404,180
01/Jul/1995,HEAD,200,46
05/Jul/1995,HEAD,302,3
02/Jul/1995,HEAD,200,57
05/Jul/1995,GET,302,3345
06/Jul/1995,GET,200,91231
16/Jul/1995,GET,302,1128
05/Jul/1995,HEAD,200,202
12/Jul/1995,GET,403,3
01/Jul/1995,GET,302,2567
14/Jul/1995,GET,304,6177
25/Jul/1995,GET,200,56681
03/Jul/1995,HEAD,200,136
20/Jul/1995,GET,404,426
02/Jul/1995,GET,302,2370
09/Jul/1995,GET,304,2261
18/Jul/1995,GET,304,4677
18/Jul/1995,POST,200,5
24/Jul/1995,GET,302,879
23/Jul/1995,GET,304,2216
23/Jul/1995,GET,404,230
27/Jul/1995,POST,200,9
24/Jul/1995,GET,200,57871
09/Jul/1995,POST,200,4
25/Jul/1995,GET,304,4274
10/Jul/1995,GET,302,1470
04/Jul/1995,GET,302,2510
07/Jul/1995,HEAD,200,175
18/Jul/1995,HEAD,200,153
26/Jul/1995,POST,200,9
04/Jul/1995,GET,404,355
07/Jul/1995,GET,302,2410
22/Jul/1995,HEAD,200,50
02/Jul/1995,GET,403,5
19/Jul/1995,POST,200,2
28/Jul/1995,GET,404,93
07/Jul/1995,POST,200,1
14/Jul/1995,GET,404,406
16/Jul/1995,POST,200,2
19/Jul/1995,GET,403,2
12/Jul/1995,GET,302,2338
06/Jul/1995,POST,200,7
14/Jul/1995,HEAD,200,386
21/Jul/1995,HEAD,200,99
25/Jul/1995,GET,302,847
04/Jul/1995,GET,200,62909
09/Jul/1995,GET,200,31977
22/Jul/1995,GET,403,2
20/Jul/1995,POST,200,2
24/Jul/1995,GET,403,1
27/Jul/1995,GET,404,334
18/Jul/1995,GET,200,57657
22/Jul/1995,POST,200,4
06/Jul/1995,HEAD,200,228
06/Jul/1995,HEAD,404,1
14/Jul/1995,POST,200,1
27/Jul/1995,POST,501,1
17/Jul/1995,GET,403,1
10/Jul/1995,GET,200,65559
22/Jul/1995,GET,304,2449
07/Jul/1995,GET,304,5222
03/Jul/1995,GET,304,4581
08/Jul/1995,HEAD,200,45
18/Jul/1995,GET,302,1076
03/Jul/1995,GET,404,473
18/Jul/1995,GET,403,9
27/Jul/1995,GET,403,4
01/Jul/1995,POST,200,1
04/Jul/1995,HEAD,200,52
24/Jul/1995,GET,304,4783
27/Jul/1995,GET,200,55879
12/Jul/1995,GET,304,8847
24/Jul/1995,POST,200,2
28/Jul/1995,GET,304,1871
07/Jul/1995,POST,501,1
10/Jul/1995,GET,304,5018
13/Jul/1995,GET,302,4436
05/Jul/1995,GET,200,84695
15/Jul/1995,GET,304,2902
26/Jul/1995,GET,304,4258
16/Jul/1995,GET,200,43555
06/Jul/1995,GET,304,5475
02/Jul/1995,GET,304,3107
18/Jul/1995,POST,501,2
07/Jul/1995,GET,200,78712
25/Jul/1995,POST,200,4
26/Jul/1995,HEAD,200,150
01/Jul/1995,GET,404,314
15/Jul/1995,HEAD,200,58
19/Jul/1995,GET,200,65215
07/Jul/1995,HEAD,302,3
05/Jul/1995,GET,304,5646
10/Jul/1995,GET,500,1
17/Jul/1995,GET,200,67425
21/Jul/1995,HEAD,302,1
13/Jul/1995,GET,304,14803
03/Jul/1995,POST,200,19
10/Jul/1995,GET,404,390
03/Jul/1995,GET,302,3121
07/Jul/1995,GET,403,1
12/Jul/1995,GET,404,459
11/Jul/1995,GET,404,468
12/Jul/1995,POST,200,2
13/Jul/1995,GET,404,524
19/Jul/1995,GET,302,1294
08/Jul/1995,GET,304,2200
15/Jul/1995,GET,302,1208
11/Jul/1995,GET,200,71672
11/Jul/1995,GET,304,6262
19/Jul/1995,HEAD,200,69
25/Jul/1995,GET,403,7
25/Jul/1995,GET,404,457
05/Jul/1995,GET,403,2
13/Jul/1995,HEAD,200,300
25/Jul/1995,POST,404,1
28/Jul/1995,GET,302,347
23/Jul/1995,GET,200,35953
09/Jul/1995,GET,302,562
20/Jul/1995,HEAD,200,181
02/Jul/1995,GET,404,289
14/Jul/1995,POST,404,2
01/Jul/1995,GET,304,3797
13/Jul/1995,POST,501,2
01/Jul/1995,GET,200,57807
24/Jul/1995,HEAD,200,244
04/Jul/1995,GET,304,4507
23/Jul/1995,HEAD,200,61
05/Jul/1995,POST,501,1
14/Jul/1995,GET,403,3
16/Jul/1995,GET,404,255
21/Jul/1995,POST,200,5
05/Jul/1995,GET,404,491
06/Jul/1995,GET,404,629
19/Jul/1995,GET,304,5335
07/Jul/1995,GET,404,564
14/Jul/1995,GET,302,2164
20/Jul/1995,GET,302,1151
19/Jul/1995,GET,404,636
24/Jul/1995,GET,404,324
26/Jul/1995,GET,403,3
02/Jul/1995,GET,200,54282
22/Jul/1995,GET,200,31765
04/Jul/1995,GET,403,4
11/Jul/1995,GET,302,1668
17/Jul/1995,GET,404,403
28/Jul/1995,GET,200,24693
08/Jul/1995,POST,200,2
13/Jul/1995,POST,200,1
17/Jul/1995,HEAD,200,160
08/Jul/1995,GET,404,299
12/Jul/1995,GET,200,80142
26/Jul/1995,POST,501,1
27/Jul/1995,GET,302,811
11/Jul/1995,POST,200,1
15/Jul/1995,GET,404,252
16/Jul/1995,HEAD,200,71
12/Jul/1995,HEAD,200,255
21/Jul/1995,GET,302,1286
16/Jul/1995,POST,404,1
17/Jul/1995,GET,304,5285
20/Jul/1995,GET,304,4855
27/Jul/1995,GET,304,4420
08/Jul/1995,GET,302,701
18/Jul/1995,GET,500,8
20/Jul/1995,GET,200,59851
15/Jul/1995,GET,200,40996
09/Jul/1995,HEAD,200,43
27/Jul/1995,HEAD,200,100
05/Jul/1995,POST,200,2
11/Jul/1995,HEAD,200,141
03/Jul/1995,GET,500,53
26/Jul/1995,GET,404,319
17/Jul/1995,GET,302,1541
10/Jul/1995,HEAD,200,217
21/Jul/1995,GET,404,332
21/Jul/1995,GET,304,4669
06/Jul/1995,GET,403,5
03/Jul/1995,GET,403,2
04/Jul/1995,POST,200,1
09/Jul/1995,GET,404,341
14/Jul/1995,GET,200,74771
28/Jul/1995,HEAD,200,79
17/Jul/1995,POST,200,2
20/Jul/1995,HEAD,404,1
11/Jul/1995,POST,404,1
21/Jul/1995,GET,200,58075
